Frame,Total_Brightness,Average_Brightness,Max_Value,Max_X,Max_Y
560,69729452,77.16166342,255,766,233
561,69737435,77.1704973,255,767,233
562,68732152,76.0580648,255,764,233
563,69723087,77.15462,255,764,233
564,69745988,77.17996193,255,759,233
565,69811335,77.25227404,255,755,233
566,69775160,77.21224327,255,780,233
567,69830368,77.27333569,255,778,233
568,69837749,77.28150341,255,778,233
569,69815316,77.25667936,255,776,233
570,69846302,77.29096804,255,779,233
571,69854229,77.29973995,255,779,233
572,69868850,77.31591935,255,778,233
573,69879860,77.32810287,255,774,233
574,69877678,77.3256883,255,774,233
575,69849756,77.29479019,255,772,233
576,69941259,77.39604617,255,772,233
577,69944317,77.39943011,255,766,233
578,69954461,77.41065532,255,766,233
579,69973008,77.43117918,255,764,233
580,69944818,77.39998451,255,766,233
581,69943090,77.39807233,255,769,233
582,69936788,77.39109862,255,769,231
583,69938773,77.39329519,255,769,231
584,69920695,77.37329032,255,765,231
585,69950478,77.40624779,255,763,233
586,69958712,77.41535942,255,761,233
587,69998390,77.45926655,255,760,231
588,70000283,77.46136132,255,757,231
589,70007226,77.46904435,255,757,231
590,70020891,77.48416586,255,778,233
591,70061589,77.52920171,255,808,231
592,70035482,77.50031206,255,760,232
593,70033368,77.49797273,255,784,232
594,70045259,77.51113115,255,760,233
595,70028500,77.49258587,255,778,233
596,70069556,77.53801788,255,779,233
597,70051212,77.51771866,255,777,233
598,70092899,77.56384893,255,779,231
599,70127929,77.60261265,255,775,232
600,70113575,77.58672871,255,770,231
601,67741428,74.96174309,255,816,232
602,70145467,77.62201996,255,763,231
603,70188274,77.66938961,255,762,231
604,70199124,77.68139607,255,775,233
605,70192875,77.67448101,255,771,232
606,70193850,77.67555993,255,762,231
607,70172009,77.65139098,255,762,231
608,70171935,77.65130909,255,771,233
609,70172813,77.65228067,255,771,233
610,70187283,77.66829298,255,759,231
611,70193647,77.6753353,255,763,231
612,70194156,77.67589855,255,780,233
613,70205205,77.68812522,255,766,233
614,70251773,77.73965674,255,770,233
615,70269467,77.75923668,255,788,231
616,70294584,77.78703081,255,766,231
617,70305349,77.79894321,255,766,231
618,70284453,77.77581998,255,765,231
619,70270166,77.76001018,255,765,231
620,70294929,77.78741258,255,765,231
621,70299773,77.79277288,255,765,231
622,70323565,77.81910079,255,764,231
623,70297582,77.79034835,255,779,231
624,70304030,77.79748362,255,779,231
625,70305426,77.79902842,255,760,231
626,70334699,77.83142152,255,772,231
627,70362544,77.86223442,255,768,231
628,55809146,61.75764209,255,768,231
629,70328281,77.82431945,255,767,231
630,70339187,77.83638788,255,767,231
631,70377809,77.87912646,255,767,231
632,70354426,77.85325115,255,768,232
633,70353163,77.85185353,255,768,232
634,70368624,77.86896246,255,821,232
635,70359272,77.85861367,255,817,231
636,52433535,58.02223685,255,763,231
637,70361166,77.86070954,255,763,231
638,70398819,77.90237584,255,756,231
639,70386865,77.88914771,255,811,231
640,70526734,78.04392484,255,813,231
641,70462583,77.97293622,255,811,231
642,59933590,66.32169573,255,825,231
643,70496268,78.01021158,255,804,232
644,70453135,77.96248119,255,818,231
645,70453590,77.96298468,255,822,231
646,70455904,77.96554533,255,823,231
647,54388188,60.18522928,255,830,231
648,70434940,77.94234685,255,832,231
649,70452710,77.96201089,255,819,231
650,70443463,77.95177828,255,812,231
651,70435802,77.94330073,255,820,231
652,58938744,65.22081268,255,813,231
653,70502473,78.01707795,255,799,231
654,70500441,78.01482936,255,799,231
655,70505812,78.02077284,255,783,231
656,70465510,77.97617519,255,792,231
657,56034516,62.00703346,255,807,231
658,70466194,77.9769321,255,781,231
659,70469016,77.98005489,255,781,231
660,70466839,77.97764585,255,805,231
661,70503384,78.01808605,255,804,231
662,70511091,78.02661451,255,832,231
663,70508940,78.02423424,255,832,231
664,70470829,77.98206113,255,787,231
665,70486216,77.99908817,255,816,231
666,70496797,78.01079696,255,813,231
667,70501471,78.01596915,255,813,231
668,70494350,78.00808915,255,813,231
669,70483753,77.99636265,255,789,229
670,70544282,78.06334322,255,785,231
671,70541623,78.06040081,255,764,229
672,70535715,78.05386309,255,824,230
673,70523478,78.0403218,255,790,231
674,70523834,78.04071574,255,791,231
675,70515014,78.03095565,255,787,231
676,70525715,78.04279723,255,784,230
677,70492745,78.00631308,255,812,229
678,70500334,78.01471096,255,812,229
679,70498004,78.01213261,255,768,229
680,70538297,78.0567203,255,476,231
681,70551433,78.07125642,255,802,231
682,70552367,78.07228997,255,788,229
683,70546415,78.06570357,255,796,231
684,70551881,78.07175217,255,796,231
685,70534313,78.05231166,255,769,229
686,70559878,78.08060154,255,473,231
687,51896278,57.42771556,255,808,229
688,70565772,78.08712376,255,808,231
689,70569381,78.09111743,255,816,231
690,70552981,78.07296941,255,789,229
691,70552733,78.07269498,255,780,231
692,70561688,78.08260446,255,787,229
693,70564836,78.086088,255,787,229
694,70561652,78.08256462,255,796,230
695,70518822,78.03516953,255,784,229
696,70556175,78.07650385,255,801,230
697,70538387,78.05681989,255,452,229
698,70597381,78.12210185,255,454,231
699,70581940,78.10501505,255,455,231
700,70565827,78.08718462,255,787,229
701,70545127,78.06427828,255,770,227
702,70551036,78.0708171,255,770,227
703,70548485,78.0679942,255,779,229
704,64778479,71.68298402,255,812,229
705,70555719,78.07599925,255,767,227
706,70550997,78.07077395,255,816,229
707,70567574,78.08911783,255,791,229
708,70619015,78.14604174,255,768,229
709,70617074,78.14389386,255,768,229
710,70533525,78.05143967,255,766,228
711,56326050,62.32964102,255,767,229
712,53496432,59.19842422,255,767,229
713,70601084,78.12619954,255,768,229
714,70610852,78.13700868,255,768,229
715,70606346,78.1320224,255,768,229
716,70523978,78.04087509,255,424,229
717,70543548,78.06253098,255,416,229
718,70564820,78.08607029,255,416,229
719,70565893,78.08725766,255,414,229
720,70567006,78.08848929,255,414,229
721,70553494,78.07353709,255,415,229
722,70597260,78.12196795,255,414,229
723,70607559,78.13336469,255,810,229
724,70592067,78.11622145,255,779,229
725,70538743,78.05721384,255,796,227
726,70569182,78.09089722,255,414,229
727,70586329,78.10987186,255,770,229
728,70588289,78.11204077,255,770,229
729,70568516,78.09016023,255,408,229
730,70540955,78.05966161,255,398,229
731,70566111,78.08749889,255,769,229
732,70576144,78.09860127,255,776,227
733,70595078,78.11955338,255,797,227
734,70612475,78.13880467,255,396,229
735,70605931,78.13156316,255,774,227
736,70620296,78.14745928,255,811,229
737,70617239,78.14407644,255,794,227
738,70567931,78.08951288,255,782,227
739,70580937,78.10390514,255,774,227
740,70582015,78.10509804,255,774,227
741,70560393,78.08117143,255,768,227
742,70592142,78.11630444,255,776,229
743,70618944,78.14596317,255,786,229
744,70617891,78.14479794,255,786,229
745,70540813,78.05950447,255,760,227
746,70568601,78.09025429,255,816,229
747,70572710,78.09480126,255,873,227
748,70600631,78.12569826,255,813,229
749,70581147,78.10413753,255,816,229
750,70570204,78.09202815,255,773,227
751,70582247,78.10535477,255,774,227
752,70614779,78.14135424,255,771,227
753,70571143,78.09306724,255,769,227
754,70571291,78.09323101,255,764,227
755,70578079,78.10074252,255,764,227
756,70555935,78.07623827,255,765,227
757,70577935,78.10058317,255,762,227
758,70558350,78.07891068,255,765,227
759,70570014,78.0918179,255,768,227
760,70570021,78.09182565,255,768,227
761,70569334,78.09106542,255,818,227
762,70579009,78.10177164,255,787,227
763,70560771,78.08158972,255,770,227
764,70560619,78.08142152,255,770,227
765,70533582,78.05150274,255,759,227
766,70561106,78.08196043,255,855,227
767,70581944,78.10501948,255,779,227
768,70692959,78.22786717,255,776,227
